
900.0, 920.0, 900.0, 920.0, 860.0, 880.0, 860.0, 880.0, 820.0, 870.0, 820.0, 870.0, 
1040.0, 1060.0, 1040.0, 1060.0, 1000.0, 1030.0, 1000.0, 1030.0, 960.0, 1030.0, 960.0, 1030.0, 
1100.0, 1120.0, 1100.0, 1120.0, 1060.0, 1080.0, 1060.0, 1080.0, 1020.0, 1080.0, 1020.0, 1080.0, 
1055.0, 1060.0, 1055.0, 1060.0, 1015.0, 1020.0, 1015.0, 1020.0, 975.0, 990.0, 975.0, 990.0, 
1165.0, 1170.0, 1165.0, 1170.0, 1125.0, 1130.0, 1125.0, 1130.0, 1085.0, 1120.0, 1085.0, 1120.0, 
1305.0, 1310.0, 1305.0, 1310.0, 1265.0, 1270.0, 1265.0, 1270.0, 1225.0, 1270.0, 1225.0, 1270.0, 
1250.0, 1270.0, 1250.0, 1270.0, 1210.0, 1230.0, 1210.0, 1230.0, 1170.0, 1210.0, 1170.0, 1210.0, 
1350.0, 1370.0, 1350.0, 1370.0, 1310.0, 1350.0, 1310.0, 1350.0, 1270.0, 1350.0, 1270.0, 1350.0, 
1525.0, 1545.0, 1525.0, 1545.0, 1485.0, 1540.0, 1485.0, 1540.0, 1445.0, 1540.0, 1445.0, 1540.0, 
1640.0, 1710.0, 1640.0, 1710.0, 1610.0, 1710.0, 1610.0, 1710.0, 1610.0, 1710.0, 1610.0, 1710.0, 
1325.0, 1345.0, 1325.0, 1345.0, 1285.0, 1305.0, 1285.0, 1305.0, 1245.0, 1290.0, 1245.0, 1290.0, 
1455.0, 1465.0, 1455.0, 1465.0, 1415.0, 1425.0, 1415.0, 1425.0, 1375.0, 1410.0, 1375.0, 1410.0, 
1635.0, 1655.0, 1635.0, 1655.0, 1595.0, 1640.0, 1595.0, 1640.0, 1555.0, 1640.0, 1555.0, 1640.0, 
1780.0, 1800.0, 1780.0, 1800.0, 1740.0, 1790.0, 1740.0, 1790.0, 1700.0, 1790.0, 1700.0, 1790.0, 
360.0, 380.0, 360.0, 380.0, 320.0, 340.0, 320.0, 340.0, 280.0, 330.0, 280.0, 330.0, 
410.0, 430.0, 410.0, 430.0, 370.0, 390.0, 370.0, 390.0, 330.0, 380.0, 330.0, 380.0, 
450.0, 470.0, 450.0, 470.0, 410.0, 430.0, 410.0, 430.0, 370.0, 420.0, 370.0, 420.0, 
755.0, 760.0, 755.0, 760.0, 715.0, 720.0, 715.0, 720.0, 680.0, 700.0, 680.0, 700.0, 
845.0, 850.0, 845.0, 850.0, 805.0, 810.0, 805.0, 810.0, 765.0, 780.0, 765.0, 780.0, 
895.0, 900.0, 895.0, 900.0, 855.0, 860.0, 855.0, 860.0, 815.0, 820.0, 815.0, 820.0, 
955.0, 960.0, 955.0, 960.0, 915.0, 920.0, 915.0, 920.0, 875.0, 880.0, 875.0, 880.0, 
